번호,계정ID,닉네임,패키지종류,투자금액,구매일,만기일,상태,월USDT수익률,CNYT수익률,비고
1,LR-KIM-001,Kim_Dragon88,Standard,$500,2025-02-05,2026-02-05,완료(만기),9%,4%,초기 가입
2,LR-KIM-001,Kim_Dragon88,Premium,$1000,2025-05-10,2026-05-10,활성,11%,6%,업그레이드 (+$500 추가입금)
3,LR-LEE-002,Lee_Profit99,Standard,$500,2025-02-10,2026-02-10,완료(만기),9%,4%,초기 가입
4,LR-LEE-002,Lee_Profit99,Premium,$1000,2025-05-17,2026-05-17,활성,11%,6%,업그레이드
5,LR-PAR-003,Park_Alpha77,Standard,$500,2025-02-15,2026-02-15,완료(만기),9%,4%,초기 가입
6,LR-PAR-003,Park_Alpha77,Premium,$1000,2025-05-22,2026-05-22,활성,11%,6%,업그레이드
7,LR-CHO-004,Choi_Rise12,Standard,$500,2025-02-18,2026-02-18,완료(만기),9%,4%,초기 가입
8,LR-CHO-004,Choi_Rise12,Premium,$1000,2025-05-28,2026-05-28,활성,11%,6%,업그레이드
9,LR-HAN-005,Han_Node34,Standard,$500,2025-02-22,2026-02-22,완료(만기),9%,4%,초기 가입
10,LR-HAN-005,Han_Node34,Premium,$1000,2025-06-03,2026-06-03,활성,11%,6%,업그레이드
11,LR-JUN-006,Jung_Bull56,Standard,$500,2025-02-26,2026-02-26,완료(만기),9%,4%,초기 가입
12,LR-JUN-006,Jung_Bull56,Premium,$1000,2025-06-08,2026-06-08,활성,11%,6%,업그레이드
13,LR-YOO-007,Yoon_Gold78,Standard,$500,2025-03-02,2026-03-02,완료(만기),9%,4%,초기 가입
14,LR-YOO-007,Yoon_Gold78,Premium,$1000,2025-06-14,2026-06-14,활성,11%,6%,업그레이드
15,LR-SON-008,Song_Wave90,Standard,$500,2025-03-07,2026-03-07,완료(만기),9%,4%,초기 가입
16,LR-SON-008,Song_Wave90,Premium,$1000,2025-06-19,2026-06-19,활성,11%,6%,업그레이드
17,LR-LIM-009,Lim_Eagle23,Standard,$500,2025-03-12,2026-03-12,완료(만기),9%,4%,초기 가입
18,LR-LIM-009,Lim_Eagle23,Premium,$1000,2025-06-24,2026-06-24,활성,11%,6%,업그레이드
19,LR-KOT-010,Ko_Titan45,Standard,$500,2025-03-17,2026-03-17,완료(만기),9%,4%,초기 가입
20,LR-KOT-010,Ko_Titan45,Premium,$1000,2025-06-29,2026-06-29,활성,11%,6%,업그레이드
,,,,,,,,,,
,,합계,,,$10000,,,,,총 투자금 합산
